省份编码,省份,年份,初中学校数(所),初中招生数(万人),初中在校学生数(万人),初中毕业生数(万人),初中专任教师数(万人)
110000,北京市,2019,336.0,,30.8722,,3.7057
110000,北京市,2018,335.0,,27.8971,,3.5643
110000,北京市,2017,345.0,,26.6404,,3.4451
110000,北京市,2016,341.0,,26.8273,,3.3469
110000,北京市,2015,340.0,,28.3366,,3.2855
110000,北京市,2014,337.0,10.2693,30.6789,9.014,3.25
110000,北京市,2013,347.0,10.6726,31.0568,9.2373,3.1868
110000,北京市,2012,341.0,10.8133,30.551,9.5782,3.1067
110000,北京市,2011,342.0,10.0636,30.2269,9.7587,3.0539
110000,北京市,2010,,,,,
110000,北京市,2009,,,,,
110000,北京市,2008,,,,,
110000,北京市,2007,,,,,
110000,北京市,2006,,,,,
110000,北京市,2005,,,,,
110000,北京市,2004,,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,340.0,,30.3432,,2.8333
120000,天津市,2018,347.0,,28.0205,,2.7469
120000,天津市,2017,338.0,,26.2243,,2.6869
120000,天津市,2016,334.0,,25.6383,,2.6632
120000,天津市,2015,329.0,,26.1474,,2.6345
120000,天津市,2014,326.0,8.4998,26.7214,7.9429,2.6176
120000,天津市,2013,325.0,8.5815,26.071,7.966,2.5967
120000,天津市,2012,317.0,8.3845,25.6541,8.4072,2.6055
120000,天津市,2011,316.0,8.2553,26.1954,9.0486,2.586
120000,天津市,2010,,,,,
120000,天津市,2009,,,,,
120000,天津市,2008,,,,,
120000,天津市,2007,,,,,
120000,天津市,2006,,,,,
120000,天津市,2005,,,,,
120000,天津市,2004,,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,2405.0,,297.3099,,21.0644
130000,河北省,2018,2367.0,,283.1535,,19.9852
130000,河北省,2017,2375.0,,260.0675,,18.7549
130000,河北省,2016,2379.0,,243.581,,17.9189
130000,河北省,2015,2378.0,,236.133,,17.3824
130000,河北省,2014,2391.0,81.2684,228.8195,60.2528,17.0121
130000,河北省,2013,2381.0,78.3551,208.847,66.7759,16.4869
130000,河北省,2012,2435.0,77.7679,217.3677,70.3054,16.78
130000,河北省,2011,2534.0,72.719,215.0335,75.2512,17.2505
130000,河北省,2010,,,,,
130000,河北省,2009,,,,,
130000,河北省,2008,,,,,
130000,河北省,2007,,,,,
130000,河北省,2006,,,,,
130000,河北省,2005,,,,,
130000,河北省,2004,,,,,
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,1762.0,,114.1923,,10.9271
140000,山西省,2018,1787.0,,113.7656,,10.8356
140000,山西省,2017,1835.0,,108.243,,10.8283
140000,山西省,2016,1850.0,,109.2739,,11.0164
140000,山西省,2015,1895.0,,112.684,,11.3107
140000,山西省,2014,1919.0,37.8867,121.8952,44.8689,11.5922
140000,山西省,2013,1991.0,41.2993,129.1442,54.1457,11.7434
