省份编码,省份,年份,在职人员攻读博士、硕士学位授予学位数(万人),在职人员攻读学位授予博士学位数(万人),在职人员攻读学位授予硕士学位数(万人),在职人员攻读博士、硕士学位招生数(万人),在职人员攻读学位博士招生数(万人),在职人员攻读硕士学位招生数(万人),在职人员攻读博士、硕士学位在校生数(万人),在职人员攻读学位博士在校学生数(万人),在职人员攻读硕士学位在校生数(万人)
110000,北京市,2019,,,,,,,,,
110000,北京市,2018,,,,,,,,,
110000,北京市,2017,,,,,,,,,
110000,北京市,2016,,,,,,,,,
110000,北京市,2015,,,,,,,,,
110000,北京市,2014,,,,,,,,,
110000,北京市,2013,,,,,,,,,
110000,北京市,2012,,,,,,,,,
110000,北京市,2011,,,,,,,,,
110000,北京市,2010,1.4258,0.0154,1.4104,1.5069,0.0102,1.4967,5.1697,0.054,5.1157
110000,北京市,2009,,,,,,,,,
110000,北京市,2008,,,,,,,,,
110000,北京市,2007,,,,,,,,,
110000,北京市,2006,,,,,,,,,
110000,北京市,2005,,,,,,,,,
110000,北京市,2004,,,,,,,,,
110000,北京市,2003,,,,,,,,,
110000,北京市,2002,,,,,,,,,
110000,北京市,2001,,,,,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,,,,,,,,,
120000,天津市,2018,,,,,,,,,
120000,天津市,2017,,,,,,,,,
120000,天津市,2016,,,,,,,,,
120000,天津市,2015,,,,,,,,,
120000,天津市,2014,,,,,,,,,
120000,天津市,2013,,,,,,,,,
120000,天津市,2012,,,,,,,,,
120000,天津市,2011,,,,,,,,,
120000,天津市,2010,0.3357,0.0088,0.3269,0.4861,0.006,0.4801,1.2714,0.0104,1.261
120000,天津市,2009,,,,,,,,,
120000,天津市,2008,,,,,,,,,
120000,天津市,2007,,,,,,,,,
120000,天津市,2006,,,,,,,,,
120000,天津市,2005,,,,,,,,,
120000,天津市,2004,,,,,,,,,
120000,天津市,2003,,,,,,,,,
120000,天津市,2002,,,,,,,,,
120000,天津市,2001,,,,,,,,,
120000,天津市,2000,,,,,,,,,
130000,河北省,2019,,,,,,,,,
130000,河北省,2018,,,,,,,,,
130000,河北省,2017,,,,,,,,,
130000,河北省,2016,,,,,,,,,
130000,河北省,2015,,,,,,,,,
130000,河北省,2014,,,,,,,,,
130000,河北省,2013,,,,,,,,,
130000,河北省,2012,,,,,,,,,
130000,河北省,2011,,,,,,,,,
130000,河北省,2010,0.2526,,0.2526,0.2125,,0.2125,0.615,,0.615
130000,河北省,2009,,,,,,,,,
130000,河北省,2008,,,,,,,,,
130000,河北省,2007,,,,,,,,,
130000,河北省,2006,,,,,,,,,
130000,河北省,2005,,,,,,,,,
130000,河北省,2004,,,,,,,,,
130000,河北省,2003,,,,,,,,,
130000,河北省,2002,,,,,,,,,
130000,河北省,2001,,,,,,,,,
130000,河北省,2000,,,,,,,,,
140000,山西省,2019,,,,,,,,,
140000,山西省,2018,,,,,,,,,
140000,山西省,2017,,,,,,,,,
140000,山西省,2016,,,,,,,,,
140000,山西省,2015,,,,,,,,,
140000,山西省,2014,,,,,,,,,
140000,山西省,2013,,,,,,,,,
140000,山西省,2012,,,,,,,,,
140000,山西省,2011,,,,,,,,,
140000,山西省,2010,0.1462,,0.1462,0.1319,,0.1319,0.3901,,0.3901
140000,山西省,2009,,,,,,,,,
