省份编码,省份,年份,中等职业学校(机构)教职工总数(万人),中等职业学校(机构)校本部教职工数(万人),中等职业学校(机构)专任教师数(万人),中等职业学校(机构)校本部行政人员数(万人),中等职业学校(机构)校本部教辅人员数(万人),中等职业学校(机构)校本部工勤人员数(万人),中等职业学校(机构)校办企业职工数(万人),中等职业学校(机构)其他附设机构人员数(万人),中等职业学校(机构)聘请校外教师数(万人)
150000,内蒙古自治区,2010,2.0626,2.0324,1.4653,0.2365,0.145,0.1856,0.0123,0.0179,0.1447
150000,内蒙古自治区,2009,2.1443,2.1131,1.5227,0.2455,0.1452,0.1997,0.0118,0.0194,0.1639
150000,内蒙古自治区,2008,2.1225,2.0874,1.4617,0.258,0.1645,0.2032,0.0125,0.0226,0.1527
150000,内蒙古自治区,2007,,,,,,,,,
150000,内蒙古自治区,2006,,,,,,,,,
150000,内蒙古自治区,2005,,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,
210000,辽宁省,2019,2.5604,,1.9153,,,,,,
210000,辽宁省,2018,2.6514,,1.9811,,,,,,
210000,辽宁省,2017,2.7464,,2.0582,,,,,,
210000,辽宁省,2016,2.7925,,2.0566,,,,,,
210000,辽宁省,2015,2.8194,,2.0411,,,,,,
210000,辽宁省,2014,2.8745,2.8617,2.059,0.3709,0.1878,0.244,0.0078,0.005,0.3177
210000,辽宁省,2013,2.9499,2.931,2.075,0.3898,0.1993,0.2669,0.0136,0.0053,0.3405
210000,辽宁省,2012,3.1282,3.1011,2.1657,0.4199,0.2242,0.2913,0.0161,0.011,0.3902
210000,辽宁省,2011,3.2101,3.1876,2.1801,0.4535,0.2457,0.3083,0.0159,0.0066,0.3745
210000,辽宁省,2010,3.2736,3.2314,2.191,0.4711,0.2411,0.3282,0.0258,0.0164,0.3257
210000,辽宁省,2009,3.4312,3.3815,2.2603,0.5133,0.2613,0.3466,0.0284,0.0213,0.3453
210000,辽宁省,2008,3.4817,3.4311,2.2872,0.5289,0.2628,0.3522,0.031,0.0196,0.3689
210000,辽宁省,2007,,,,,,,,,
210000,辽宁省,2006,,,,,,,,,
210000,辽宁省,2005,,,,,,,,,
210000,辽宁省,2004,,,,,,,,,
210000,辽宁省,2003,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,
220000,吉林省,2019,1.8289,,1.3921,,,,,,
220000,吉林省,2018,1.7583,,1.3418,,,,,,
220000,吉林省,2017,1.7724,,1.3459,,,,,,
220000,吉林省,2016,1.9362,,1.454,,,,,,
220000,吉林省,2015,2.1578,,1.6259,,,,,,
220000,吉林省,2014,2.4003,2.3945,1.7539,0.2836,0.2259,0.1311,,0.0058,0.0839
220000,吉林省,2013,2.5215,2.5127,1.8094,0.3082,0.2482,0.1469,0.0022,0.0066,0.1012
220000,吉林省,2012,2.6357,2.6272,1.8513,0.3447,0.2662,0.165,0.0012,0.0073,0.1143
220000,吉林省,2011,2.6978,2.6832,1.8533,0.3651,0.2802,0.1846,0.0071,0.0075,0.1333
220000,吉林省,2010,2.8434,2.8159,1.9339,0.3751,0.2855,0.2214,0.0132,0.0143,0.174
220000,吉林省,2009,2.8189,2.7886,1.8936,0.3866,0.2967,0.2117,0.0165,0.0138,0.1772
220000,吉林省,2008,2.8261,2.7985,1.8745,0.4018,0.3109,0.2113,0.018,0.0096,0.1504
220000,吉林省,2007,,,,,,,,,
220000,吉林省,2006,,,,,,,,,
220000,吉林省,2005,,,,,,,,,
220000,吉林省,2004,,,,,,,,,
220000,吉林省,2003,,,,,,,,,
220000,吉林省,2002,,,,,,,,,
220000,吉林省,2001,,,,,,,,,
220000,吉林省,2000,,,,,,,,,
230000,黑龙江省,2019,1.7054,,1.2604,,,,,,
230000,黑龙江省,2018,1.848,,1.3528,,,,,,
230000,黑龙江省,2017,1.9349,,1.409,,,,,,
230000,黑龙江省,2016,1.9617,,1.4083,,,,,,
230000,黑龙江省,2015,1.9799,,1.4185,,,,,,
230000,黑龙江省,2014,2.3299,2.3222,1.6968,0.2545,0.1856,0.1853,0.0052,0.0025,0.1557
230000,黑龙江省,2013,2.379,2.3687,1.7173,0.2699,0.1717,0.2098,0.0064,0.0039,0.1602
230000,黑龙江省,2012,2.524,2.5087,1.7891,0.2982,0.192,0.2294,0.0111,0.0042,0.1806
230000,黑龙江省,2011,2.5402,2.5165,1.7967,0.2969,0.1843,0.2386,0.0176,0.0061,0.1636
230000,黑龙江省,2010,2.6038,2.575,1.8297,0.3082,0.1844,0.2527,0.0189,0.0099,0.1597
230000,黑龙江省,2009,2.7227,2.6834,1.8817,0.3315,0.188,0.2822,0.0249,0.0144,0.1673
230000,黑龙江省,2008,2.6163,2.582,1.7644,0.3405,0.1927,0.2844,0.0228,0.0115,0.1963
230000,黑龙江省,2007,,,,,,,,,
230000,黑龙江省,2006,,,,,,,,,
230000,黑龙江省,2005,,,,,,,,,
230000,黑龙江省,2004,,,,,,,,,
230000,黑龙江省,2003,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,
310000,上海市,2019,1.1722,,0.816,,,,,,
310000,上海市,2018,1.1947,,0.8083,,,,,,
310000,上海市,2017,1.2289,,0.8125,,,,,,
310000,上海市,2016,1.2605,,0.8229,,,,,,
310000,上海市,2015,1.3023,,0.8337,,,,,,
310000,上海市,2014,1.3389,1.3276,0.8382,0.196,0.1482,0.1452,0.0031,0.0082,0.107
310000,上海市,2013,1.3706,1.3586,0.8358,0.2048,0.1528,0.1652,0.0056,0.0064,0.1156
310000,上海市,2012,1.3084,1.3012,0.79,0.2039,0.1403,0.167,0.0054,0.0018,0.1306
310000,上海市,2011,1.375,1.3668,0.8175,0.2178,0.1501,0.1814,0.008,0.0002,0.129
310000,上海市,2010,1.406,1.3951,0.8094,0.2301,0.1565,0.1991,0.0101,0.0008,0.1394
310000,上海市,2009,1.4477,1.4338,0.8112,0.2421,0.1709,0.2096,0.0123,0.0016,0.1556
310000,上海市,2008,1.4835,1.468,0.8265,0.2458,0.1723,0.2234,0.0129,0.0026,0.1986
310000,上海市,2007,,,,,,,,,
310000,上海市,2006,,,,,,,,,
310000,上海市,2005,,,,,,,,,
310000,上海市,2004,,,,,,,,,
310000,上海市,2003,,,,,,,,,
310000,上海市,2002,,,,,,,,,
310000,上海市,2001,,,,,,,,,
310000,上海市,2000,,,,,,,,,
320000,江苏省,2019,5.0609,,4.3161,,,,,,
320000,江苏省,2018,5.0137,,4.2518,,,,,,
320000,江苏省,2017,5.0288,,4.2317,,,,,,
320000,江苏省,2016,4.9706,,4.1658,,,,,,
320000,江苏省,2015,5.1169,,4.2304,,,,,,
320000,江苏省,2014,5.2976,5.2716,4.3323,0.2797,0.3113,0.3483,0.0184,0.0076,0.6007
320000,江苏省,2013,5.4527,5.4216,4.4164,0.2998,0.3269,0.3785,0.019,0.0121,0.6238
320000,江苏省,2012,5.514,5.4749,4.3828,0.3231,0.3499,0.4191,0.0236,0.0155,0.6209
320000,江苏省,2011,5.6101,5.5726,4.3909,0.3668,0.3788,0.4361,0.023,0.0145,0.5773
320000,江苏省,2010,5.7667,5.6995,4.4035,0.3864,0.4244,0.4852,0.0314,0.0358,0.6067
320000,江苏省,2009,5.8727,5.8,4.3852,0.4111,0.4571,0.5466,0.0349,0.0378,0.5952
320000,江苏省,2008,5.9985,5.9192,4.4752,0.4383,0.4482,0.5575,0.0421,0.0372,0.6919
320000,江苏省,2007,,,,,,,,,
320000,江苏省,2006,,,,,,,,,
320000,江苏省,2005,,,,,,,,,
320000,江苏省,2004,,,,,,,,,
320000,江苏省,2003,,,,,,,,,
320000,江苏省,2002,,,,,,,,,
320000,江苏省,2001,,,,,,,,,
320000,江苏省,2000,,,,,,,,,
330000,浙江省,2019,3.9836,,3.5613,,,,,,
330000,浙江省,2018,3.8628,,3.4409,,,,,,
330000,浙江省,2017,3.8324,,3.3925,,,,,,
330000,浙江省,2016,3.8393,,3.3491,,,,,,
330000,浙江省,2015,3.8641,,3.3494,,,,,,
330000,浙江省,2014,3.8848,3.8646,3.319,0.1677,0.2073,0.1706,0.0137,0.0065,0.42
330000,浙江省,2013,3.892,3.8665,3.2778,0.188,0.2131,0.1876,0.0138,0.0117,0.4786
330000,浙江省,2012,3.8701,3.8364,3.2276,0.2089,0.2075,0.1924,0.0162,0.0175,0.6478
330000,浙江省,2011,3.7905,3.7202,3.0998,0.2155,0.2242,0.1807,0.0176,0.0527,0.6249
330000,浙江省,2010,3.7491,3.715,3.0548,0.2319,0.2039,0.2244,0.0173,0.0168,0.4033
330000,浙江省,2009,3.7845,3.7439,3.0557,0.2474,0.199,0.2418,0.0205,0.0201,0.433
330000,浙江省,2008,3.8797,3.8304,3.105,0.2621,0.2041,0.2592,0.0294,0.0199,0.3995
330000,浙江省,2007,,,,,,,,,
330000,浙江省,2006,,,,,,,,,
330000,浙江省,2005,,,,,,,,,
330000,浙江省,2004,,,,,,,,,
330000,浙江省,2003,,,,,,,,,
330000,浙江省,2002,,,,,,,,,
330000,浙江省,2001,,,,,,,,,
330000,浙江省,2000,,,,,,,,,
340000,安徽省,2019,3.2768,,2.7884,,,,,,
340000,安徽省,2018,3.2291,,2.7323,,,,,,
340000,安徽省,2017,3.3157,,2.7804,,,,,,
340000,安徽省,2016,3.4397,,2.863,,,,,,
340000,安徽省,2015,3.6609,,3.0265,,,,,,
340000,安徽省,2014,3.9295,3.8848,3.2087,0.2714,0.1697,0.235,0.0128,0.0319,0.4994
340000,安徽省,2013,4.1317,4.0844,3.3973,0.2737,0.1795,0.2339,0.0113,0.036,0.5246
340000,安徽省,2012,4.2636,4.1758,3.4314,0.2964,0.1963,0.2517,0.0191,0.0687,0.7181
340000,安徽省,2011,4.1908,4.0767,3.2112,0.3297,0.2376,0.2982,0.0396,0.0745,0.3994
340000,安徽省,2010,3.4109,3.3105,2.4384,0.3572,0.1959,0.319,0.0547,0.0457,0.3566
340000,安徽省,2009,3.4798,3.4117,2.47,0.3743,0.2214,0.346,0.0223,0.0458,0.3888
340000,安徽省,2008,3.4577,3.3902,2.4568,0.3661,0.2173,0.35,0.0304,0.0371,0.4018
340000,安徽省,2007,,,,,,,,,
340000,安徽省,2006,,,,,,,,,
340000,安徽省,2005,,,,,,,,,
340000,安徽省,2004,,,,,,,,,
340000,安徽省,2003,,,,,,,,,
340000,安徽省,2002,,,,,,,,,
340000,安徽省,2001,,,,,,,,,
340000,安徽省,2000,,,,,,,,,
350000,福建省,2019,1.9928,,1.6778,,,,,,
350000,福建省,2018,1.9629,,1.6485,,,,,,
350000,福建省,2017,1.9813,,1.6479,,,,,,
350000,福建省,2016,2.0586,,1.6732,,,,,,
350000,福建省,2015,2.1243,,1.7103,,,,,,
350000,福建省,2014,2.1417,2.1293,1.7102,0.1694,0.1371,0.1126,0.0018,0.0106,0.3451
350000,福建省,2013,2.1614,2.1505,1.7187,0.1778,0.1303,0.1237,0.0006,0.0103,0.3684
350000,福建省,2012,2.2278,2.217,1.771,0.1878,0.1326,0.1256,0.0016,0.0092,0.3943
350000,福建省,2011,2.2712,2.2519,1.7781,0.2003,0.138,0.1355,0.0056,0.0137,0.4144
350000,福建省,2010,2.3667,2.303,1.7993,0.2037,0.1353,0.1647,0.054,0.0097,0.45
350000,福建省,2009,2.3747,2.3537,1.829,0.2189,0.1333,0.1725,0.0044,0.0166,0.4144
350000,福建省,2008,2.3961,2.3699,1.8229,0.226,0.1414,0.1796,0.004,0.0222,0.4301
350000,福建省,2007,,,,,,,,,
350000,福建省,2006,,,,,,,,,
350000,福建省,2005,,,,,,,,,
350000,福建省,2004,,,,,,,,,
350000,福建省,2003,,,,,,,,,
350000,福建省,2002,,,,,,,,,
350000,福建省,2001,,,,,,,,,
350000,福建省,2000,,,,,,,,,
360000,江西省,2019,1.9701,,1.4225,,,,,,
360000,江西省,2018,1.7758,,1.3005,,,,,,
360000,江西省,2017,1.7235,,1.2514,,,,,,
360000,江西省,2016,1.734,,1.3496,,,,,,
360000,江西省,2015,1.9216,,1.4921,,,,,,
360000,江西省,2014,2.0055,1.9471,1.5426,0.1801,0.1014,0.123,0.0539,0.0045,0.3027
360000,江西省,2013,2.2454,2.1656,1.6315,0.2635,0.1155,0.1551,0.0659,0.0139,0.2931
360000,江西省,2012,2.4431,2.3555,1.7467,0.2846,0.1483,0.1759,0.0699,0.0177,0.3447
360000,江西省,2011,2.6458,2.5512,1.9026,0.2987,0.1371,0.2128,0.074,0.0206,0.3255
360000,江西省,2010,2.7658,2.707,2.0035,0.3117,0.1391,0.2527,0.0309,0.0279,0.2956
360000,江西省,2009,2.9713,2.9162,2.1444,0.3441,0.1367,0.291,0.0286,0.0265,0.2818
360000,江西省,2008,3.0497,2.8548,2.0974,0.3271,0.1532,0.2771,0.1632,0.0317,0.2922
360000,江西省,2007,,,,,,,,,
360000,江西省,2006,,,,,,,,,
360000,江西省,2005,,,,,,,,,
360000,江西省,2004,,,,,,,,,
360000,江西省,2003,,,,,,,,,
360000,江西省,2002,,,,,,,,,
360000,江西省,2001,,,,,,,,,
360000,江西省,2000,,,,,,,,,
370000,山东省,2019,5.8249,,4.8099,,,,,,
370000,山东省,2018,5.9304,,4.8269,,,,,,
370000,山东省,2017,6.0408,,4.8659,,,,,,
370000,山东省,2016,6.0613,,4.8244,,,,,,
370000,山东省,2015,6.2319,,4.8926,,,,,,
370000,山东省,2014,6.4488,6.3685,4.9274,0.5673,0.5125,0.3613,0.0668,0.0135,0.6319
370000,山东省,2013,6.681,6.5929,5.0243,0.6025,0.5483,0.4178,0.0719,0.0162,0.3276
370000,山东省,2012,7.1449,7.0557,5.243,0.6792,0.6623,0.4712,0.0697,0.0195,0.3525
370000,山东省,2011,7.4232,7.3224,5.3569,0.7792,0.6763,0.51,0.0669,0.0339,0.3659
370000,山东省,2010,7.8769,7.7275,5.5465,0.8787,0.6613,0.641,0.0842,0.0652,0.3361
370000,山东省,2009,8.1291,7.9579,5.694,0.9148,0.6863,0.6628,0.103,0.0682,0.2969
370000,山东省,2008,8.429,8.2597,5.849,0.97,0.7244,0.7163,0.1099,0.0594,0.3525
370000,山东省,2007,,,,,,,,,
370000,山东省,2006,,,,,,,,,
370000,山东省,2005,,,,,,,,,
370000,山东省,2004,,,,,,,,,
370000,山东省,2003,,,,,,,,,
370000,山东省,2002,,,,,,,,,
370000,山东省,2001,,,,,,,,,
370000,山东省,2000,,,,,,,,,
410000,河南省,2019,5.8995,,4.771,,,,,,
410000,河南省,2018,6.003,,4.8216,,,,,,
410000,河南省,2017,6.2705,,4.9755,,,,,,
410000,河南省,2016,6.4222,,5.0282,,,,,,
410000,河南省,2015,6.714,,5.1672,,,,,,
410000,河南省,2014,6.7699,6.6183,5.1767,0.5638,0.4247,0.4531,0.103,0.0486,0.8995
410000,河南省,2013,6.9437,6.7772,5.2559,0.5837,0.4446,0.493,0.1055,0.061,0.8154
410000,河南省,2012,7.6395,7.4511,5.7173,0.7045,0.5086,0.5207,0.0926,0.0958,0.7913
410000,河南省,2011,7.901,7.7157,5.8334,0.7414,0.5749,0.566,0.0807,0.1046,0.8649
410000,河南省,2010,8.3165,8.1125,6.0389,0.8263,0.5679,0.6794,0.1013,0.1027,0.8706
410000,河南省,2009,8.272,8.0828,5.9531,0.8544,0.5756,0.6997,0.1095,0.0797,0.8351
410000,河南省,2008,7.9075,7.7087,5.5922,0.8573,0.5676,0.6916,0.1217,0.0771,0.99
410000,河南省,2007,,,,,,,,,
410000,河南省,2006,,,,,,,,,
410000,河南省,2005,,,,,,,,,
410000,河南省,2004,,,,,,,,,
410000,河南省,2003,,,,,,,,,
410000,河南省,2002,,,,,,,,,
410000,河南省,2001,,,,,,,,,
410000,河南省,2000,,,,,,,,,
420000,湖北省,2019,2.5951,,2.0452,,,,,,
420000,湖北省,2018,2.5937,,1.9891,,,,,,
420000,湖北省,2017,2.6595,,2.0211,,,,,,
420000,湖北省,2016,2.7672,,2.0657,,,,,,
420000,湖北省,2015,2.7532,,2.055,,,,,,
420000,湖北省,2014,2.9809,2.9455,2.1905,0.3111,0.2269,0.217,0.0292,0.0062,0.3374
420000,湖北省,2013,3.0619,3.0206,2.2384,0.3262,0.221,0.235,0.0293,0.012,0.3613
420000,湖北省,2012,3.3442,3.2764,2.3796,0.3708,0.25,0.276,0.0452,0.0226,0.4265
420000,湖北省,2011,3.698,3.6261,2.6208,0.4113,0.2879,0.3061,0.0439,0.028,0.4641
420000,湖北省,2010,4.0985,4.0015,2.8476,0.4552,0.3127,0.386,0.0542,0.0428,0.5812
420000,湖北省,2009,4.2244,4.099,2.9148,0.4685,0.3245,0.3912,0.0779,0.0475,0.5953
420000,湖北省,2008,4.4847,4.3617,3.0689,0.5245,0.3411,0.4272,0.0746,0.0484,0.6285
420000,湖北省,2007,,,,,,,,,
420000,湖北省,2006,,,,,,,,,
420000,湖北省,2005,,,,,,,,,
420000,湖北省,2004,,,,,,,,,
420000,湖北省,2003,,,,,,,,,
420000,湖北省,2002,,,,,,,,,
420000,湖北省,2001,,,,,,,,,
420000,湖北省,2000,,,,,,,,,
430000,湖南省,2019,3.9075,,3.1027,,,,,,
430000,湖南省,2018,3.6678,,2.9029,,,,,,
430000,湖南省,2017,3.4447,,2.7001,,,,,,
430000,湖南省,2016,3.329,,2.562,,,,,,
430000,湖南省,2015,3.4134,,2.6047,,,,,,
430000,湖南省,2014,3.3272,3.311,2.5106,0.3523,0.2137,0.2344,0.0078,0.0084,0.2699
430000,湖南省,2013,3.3342,3.3201,2.4827,0.3576,0.2396,0.2402,0.0062,0.0079,0.297
430000,湖南省,2012,3.841,3.7777,2.7293,0.4433,0.3009,0.3042,0.0499,0.0134,0.3467
430000,湖南省,2011,4.007,3.9556,2.7977,0.4891,0.3426,0.3262,0.0325,0.0189,0.3437
430000,湖南省,2010,4.1822,4.0655,2.8004,0.5268,0.3159,0.4224,0.0728,0.0439,0.3702
430000,湖南省,2009,4.4459,4.3552,2.9514,0.5822,0.3307,0.4909,0.0534,0.0373,0.4142
430000,湖南省,2008,4.5475,4.4389,3.004,0.582,0.3505,0.5024,0.0745,0.0341,0.4415
430000,湖南省,2007,,,,,,,,,
430000,湖南省,2006,,,,,,,,,
430000,湖南省,2005,,,,,,,,,
430000,湖南省,2004,,,,,,,,,
430000,湖南省,2003,,,,,,,,,
430000,湖南省,2002,,,,,,,,,
430000,湖南省,2001,,,,,,,,,
430000,湖南省,2000,,,,,,,,,
440000,广东省,2019,5.6252,,4.4034,,,,,,
440000,广东省,2018,5.675,,4.4105,,,,,,
440000,广东省,2017,5.8112,,4.5197,,,,,,
440000,广东省,2016,5.7472,,4.4776,,,,,,
440000,广东省,2015,5.776,,4.4972,,,,,,
440000,广东省,2014,5.8051,5.7577,4.5216,0.5009,0.3361,0.3991,0.0051,0.0423,0.4938
440000,广东省,2013,5.8927,5.8322,4.5443,0.5302,0.3454,0.4123,0.0069,0.0536,0.5026
440000,广东省,2012,6.0847,6.031,4.6193,0.5718,0.3677,0.4722,0.0177,0.036,0.673
440000,广东省,2011,6.0632,6.0038,4.5993,0.5631,0.3668,0.4746,0.0208,0.0386,0.6879
440000,广东省,2010,5.8754,5.8231,4.3533,0.6011,0.4101,0.4586,0.0247,0.0276,0.6138
440000,广东省,2009,5.6156,5.5763,4.1178,0.5927,0.3943,0.4715,0.0171,0.0222,0.5493
440000,广东省,2008,5.3571,5.3136,3.8193,0.6014,0.41,0.4829,0.0178,0.0257,0.4015
440000,广东省,2007,,,,,,,,,
440000,广东省,2006,,,,,,,,,
440000,广东省,2005,,,,,,,,,
440000,广东省,2004,,,,,,,,,
440000,广东省,2003,,,,,,,,,
440000,广东省,2002,,,,,,,,,
440000,广东省,2001,,,,,,,,,
440000,广东省,2000,,,,,,,,,
450000,广西壮族自治区,2019,2.7023,,2.043,,,,,,
450000,广西壮族自治区,2018,2.7407,,2.0311,,,,,,
450000,广西壮族自治区,2017,2.8095,,2.0942,,,,,,
450000,广西壮族自治区,2016,2.7944,,2.0733,,,,,,
450000,广西壮族自治区,2015,2.7639,,2.03,,,,,,
450000,广西壮族自治区,2014,2.8173,2.7201,2.0417,0.2662,0.1849,0.2273,0.0145,0.0827,0.406
450000,广西壮族自治区,2013,2.8219,2.7427,2.0459,0.2626,0.1796,0.2546,0.0172,0.062,0.4012
450000,广西壮族自治区,2012,3.0431,2.8753,2.0755,0.2877,0.2117,0.3004,0.0367,0.1311,0.4141
450000,广西壮族自治区,2011,3.0433,2.892,2.061,0.2884,0.2146,0.328,0.0388,0.1125,0.4237
450000,广西壮族自治区,2010,3.1234,2.9582,2.0469,0.3115,0.2307,0.3691,0.0259,0.1393,0.4351
450000,广西壮族自治区,2009,3.2596,3.0642,2.0798,0.3348,0.2498,0.3998,0.0687,0.1267,0.4258
450000,广西壮族自治区,2008,3.3635,3.1732,2.1061,0.3773,0.2654,0.4244,0.0755,0.1148,0.4139
450000,广西壮族自治区,2007,,,,,,,,,
450000,广西壮族自治区,2006,,,,,,,,,
450000,广西壮族自治区,2005,,,,,,,,,
