省份编码,省份,年份,小学生师比(教师人数=1),初中生师比(教师人数=1),普通高中生师比(教师人数=1),职业高中生师比(教师人数=1),普通中专生师比(教师人数=1),普通高校生师比(教师人数=1),本科院校生师比(教师人数=1),专科院校生师比(教师人数=1)
110000,北京市,2019,13.58,8.33,7.41,,,16.9,,
110000,北京市,2018,13.65,7.83,7.44,,,16.94,,
110000,北京市,2017,13.58,7.73,7.64,,,17.13,,
110000,北京市,2016,14.0495542865,8.0155666438,7.7474354103,,,14.97,,
110000,北京市,2015,14.3472927599,8.6247450921,7.9454084983,,,16.0857707043,,
110000,北京市,2014,14.4391067347,9.4396615385,8.4120907756,,,15.9527657884,,
110000,北京市,2013,14.3554318764664,9.74544998117234,9.00124760076775,,,15.58,,
110000,北京市,2012,13.7,9.83,9.38,,,16.7,,
110000,北京市,2011,13.3771797039338,9.89780280952225,9.60141753211596,12.8222933760256,25.6532520325203,16.180796408178,16.3850703513354,14.47
110000,北京市,2010,13.2,10.24,10.11,12.93,21.2,15.97,16.22,14.11
110000,北京市,2009,13.1372393771444,10.4813463498011,10.2693550015141,12.2665214233842,22.6567222006974,15.93,16.24,13.73
110000,北京市,2008,13.5432068342369,10.8260464187007,11.0415134263691,13.1109888093928,32.8920562523755,16.04,16.41,13.47
110000,北京市,2007,13.8325240703851,11.1828776785115,11.9912457581272,12.8452173913043,31.8582065393331,14.9,15.92,12.67
110000,北京市,2006,9.82,9.62,12.6,13.19,32.63,15.81,16.37,14.45
110000,北京市,2005,10.3128806206724,10.3420164013507,14.0054339622642,12.895271342431,32.4366591928251,17.3480558267762,18.07715851205,11.1667573943023
110000,北京市,2004,10.5817868640679,11.9139078971703,14.7173843187661,12.3906178138893,30.0367239101717,17.13,18.1,8.85
110000,北京市,2003,,,,,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,15.1,10.71,9.55,,,18.51,,
120000,天津市,2018,15.03,10.2,9.63,,,18.67,,
120000,天津市,2017,15.06,9.76,9.91,,,18.24,,
120000,天津市,2016,15.192312321,9.6268774407,9.9978050119,,,17.69,,
120000,天津市,2015,14.9779612955,9.9249952553,10.2438435837,,,17.4790803766,,
120000,天津市,2014,14.709171628,10.208358802,10.6242796292,,,17.4491818092,,
120000,天津市,2013,14.4249771391248,10.0400508337505,11.2351016742575,,,17.29,,
120000,天津市,2012,14.09,9.85,11.74,,,17.29,,
