年份,每十万人口幼儿园平均在校生数,每十万人口小学平均在校生数,每十万人口初中阶段平均在校生数,每十万人口高中阶段平均在校生数,每十万人口高等学校平均在校生数
2021,,,,,
2020,3441.49380379272,7660.69297525088,3509.93843077033,2948.32141709225,3125.99464304846
2019,3378.2059367341,7568.7166219954,3459.3703507288,2849.5681463114,2856.8975476214
2018,3350.0,7438.0,3347.0,2828.0,2658.0
2017,3327.0,7300.0,3213.0,2861.0,2576.0
2016,3211.0,7211.0,3150.0,2887.0,2530.0
2015,3118.0,7086.0,3152.0,2965.0,2524.0
2014,2977.0,6946.0,3222.0,3100.0,2488.0
2013,2876.0,6913.0,3279.0,3227.0,2418.0
2012,2736.0,7196.0,3535.0,3411.0,2335.0
2011,2554.0,7403.0,3779.0,3495.0,2253.0
2010,2230.0,7448.0,3955.0,3504.0,2189.0
2009,2001.0,7584.0,4097.0,3495.0,2128.0
2008,1873.0,7819.0,4227.0,3463.0,2042.0
2007,1787.0,8037.0,4364.0,3409.0,1924.0
2006,1731.0,8192.0,4557.0,3321.0,1816.0
2005,1676.0,8358.0,4781.0,3070.0,1613.0
2004,1617.0,8725.0,5058.0,2824.0,1420.0
2003,1560.0,9100.0,5209.0,2523.0,1298.0
2002,1595.0,9525.0,5240.0,2283.0,1146.0
2001,1602.0,9937.0,5161.0,2021.0,931.0
2000,1782.0,10335.0,4969.0,2000.0,723.0
