年份,民办高校另有其他学生数,民办独立学院另有其他学生数,民办其他高等教育机构另有其他学生数,民办中等职业教育另有其他学生数,民办培训机构另有其他学生数
2021,,,,,
2020,,,,,
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,31.5265,3.9467,77.7416,25.826,898.6589
2014,31.7345,2.9095,88.3009,29.4471,867.9377
2013,25.8426,2.8956,87.9922,30.2303,943.5604
2012,22.0351,3.408,82.8241,34.8246,860.6443
2011,26.0042,2.9128,88.1399,37.6946,955.456
2010,20.6078,1.8736,92.1841,35.9683,929.7762
2009,19.3942,1.5962,85.2219,40.0763,844.9263
2008,,,,,
2007,,,,,
2006,,,,,
2005,,,,,
2004,,,,,
2003,,,,,
2002,,,,,
2001,,,,,
2000,,,,,
